Serving HTTP on 127.0.0.1 port 8871 (http://127.0.0.1:8871/) ...
127.0.0.1 - - [16/Sep/2026 23:07:44] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:07:45] "GET /assets/v11/23_lantern_courier/portrait.png HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:07:45] "GET /assets/v12/23_lantern_courier/portrait.png HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:07:45] "GET /assets/v11/23_lantern_courier/walk/S/01.png HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:07:45] "GET /assets/v11/23_lantern_courier/walk/S/02.png HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:07:45] "GET /assets/v11/23_lantern_courier/walk/S/03.png HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:07:45] "GET /assets/v11/23_lantern_courier/walk/S/04.png HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:07:45] "GET /assets/v12/23_lantern_courier/walk/S/01.png HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:07:45] "GET /assets/v12/23_lantern_courier/walk/S/02.png HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:07:45] "GET /assets/v12/23_lantern_courier/walk/S/03.png HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:07:45] "GET /assets/v12/23_lantern_courier/walk/S/04.png HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:07:45] "GET /assets/v12/23_lantern_courier/walk/S/05.png HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:07:45] "GET /assets/v12/23_lantern_courier/walk/S/06.png HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:07:45] "GET /assets/v12/23_lantern_courier/walk/S/07.png HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:07:45] "GET /assets/v12/23_lantern_courier/walk/S/08.png HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:07:45] code 404, message File not found
127.0.0.1 - - [16/Sep/2026 23:07:45] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [16/Sep/2026 23:07:46] "GET /assets/v11/23_lantern_courier/walk/SW/01.png HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:07:46] "GET /assets/v11/23_lantern_courier/walk/SW/02.png HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:07:46] "GET /assets/v11/23_lantern_courier/walk/SW/03.png HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:07:46] "GET /assets/v11/23_lantern_courier/walk/SW/04.png HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:07:46] "GET /assets/v12/23_lantern_courier/walk/SW/01.png HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:07:46] "GET /assets/v12/23_lantern_courier/walk/SW/02.png HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:07:46] "GET /assets/v12/23_lantern_courier/walk/SW/03.png HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:07:46] "GET /assets/v12/23_lantern_courier/walk/SW/04.png HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:07:46] "GET /assets/v12/23_lantern_courier/walk/SW/05.png HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:07:46] "GET /assets/v12/23_lantern_courier/walk/SW/06.png HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:09:01] "GET /assets/v12/23_lantern_courier/walk/SW/07.png HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:09:52] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:09:53] "GET /assets/v11/23_lantern_courier/portrait.png HTTP/1.1" 200 -
127.0.0.1 - - [16/Sep/2026 23:09:53] "GET /assets/v12/23_lantern_courier/portrait.png HTTP/1.1" 200 -
